Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,implied_base_sales,cost,capped_sales,capped_profit,profit_delta
Same Day,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,89.768,1,0.3,-2.5648,128.24,92.3328,102.59200000000001,10.259200000000007,12.824000000000007
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,106.869,3,0.3,-29.0073,152.67000000000002,135.87630000000001,122.13600000000002,-13.74029999999999,15.26700000000001
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,127.386,2,0.3,-25.4772,181.98000000000002,152.8632,145.58400000000003,-7.279199999999975,18.198000000000025
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,170.072,4,0.3,-12.148,242.96,182.22,194.36800000000002,12.148000000000025,24.296000000000024
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,181.986,2,0.3,-54.5958,259.98,236.5818,207.98400000000004,-28.59779999999995,25.998000000000047
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,304.45000000000005,228.3375,243.56000000000006,15.222500000000053,30.445000000000054
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,317.058,3,0.3,-18.1176,452.94,335.1756,362.35200000000003,27.176400000000058,45.294000000000054
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,359.772,2,0.3,-5.1396,513.96,364.91159999999996,411.16800000000006,46.2564000000001,51.3960000000001
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,383.607,9,0.3,-5.4801,548.0100000000001,389.0871,438.40800000000013,49.32090000000011,54.80100000000011
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,421.372,2,0.3,-6.0196,601.96,427.39160000000004,481.56800000000004,54.1764,60.196
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,470.302,7,0.3,-87.3418,671.8600000000001,557.6438,537.4880000000002,-20.155799999999886,67.18600000000012
First Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,520.464,2,0.3,-14.8704,743.5200000000001,535.3344000000001,594.8160000000001,59.48160000000007,74.35200000000007
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,526.344,4,0.3,-75.192,751.9200000000001,601.5360000000001,601.5360000000001,0.0,75.192
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0,754.9,528.43,603.92,75.49000000000001,75.49000000000001
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,569.058,3,0.3,-178.8468,812.94,747.9048,650.3520000000001,-97.55279999999993,81.29400000000007
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,797.944,4,0.3,-56.996,1139.92,854.9399999999999,911.9360000000001,56.99600000000021,113.99200000000022
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,844.116,6,0.3,-36.1764,1205.88,880.2924,964.7040000000002,84.41160000000013,120.58800000000014
Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,1.892,1,0.6,-0.9933,4.7299999999999995,2.8853,3.784,0.8986999999999998,1.892
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,2.032,1,0.6,-1.3208,5.08,3.3528000000000002,4.064,0.7111999999999998,2.032
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308,10.109999999999998,6.8748,8.088,1.2131999999999996,4.044
Second Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,4.712,2,0.6,-1.8848,11.78,6.5968,9.424,2.8271999999999995,4.712
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,5.584,2,0.6,-1.6752,13.959999999999999,7.2592,11.168,3.9087999999999994,5.584
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,6.464,1,0.6,-4.04,16.16,10.504000000000001,12.928,2.4239999999999995,6.4639999999999995
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,7.76,1,0.6,-2.134,19.4,9.894,15.52,5.6259999999999994,7.76
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,8.544,2,0.6,-7.476,21.36,16.02,17.088,1.0680000000000014,8.544
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,8.792,1,0.6,-5.7148,21.979999999999997,14.5068,17.584,3.0771999999999995,8.792
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,8.856,3,0.6,-6.8634,22.139999999999997,15.7194,17.712,1.9925999999999995,8.856
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,10.776,3,0.6,-4.8492,26.939999999999998,15.6252,21.552,5.9268,10.776
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,10.984,2,0.6,-7.9634,27.459999999999997,18.947400000000002,21.968,3.020599999999998,10.983999999999998
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752,29.22,16.3632,23.376,7.012800000000002,11.688000000000002
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924,30.33,20.6244,24.264,3.639599999999998,12.131999999999998
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,14.224,2,0.6,-10.3124,35.559999999999995,24.5364,28.447999999999997,3.9115999999999964,14.223999999999997
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,14.56,5,0.6,-6.188,36.4,20.748,29.12,8.372,14.559999999999999
Standard Class,Corporate,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,16.156,7,0.6,-12.117,40.38999999999999,28.273,32.312,4.038999999999998,16.156
Same Day,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,17.496,9,0.6,-7.4358,43.739999999999995,24.9318,34.992,10.060199999999998,17.496
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,22.2,1,0.6,-26.085,55.49999999999999,48.285,44.4,-3.884999999999998,22.200000000000003
Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736,56.519999999999996,32.7816,45.216,12.434400000000004,22.608000000000004
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736,56.519999999999996,32.7816,45.216,12.434400000000004,22.608000000000004
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,22.752,6,0.6,-8.532,56.879999999999995,31.284,45.504,14.219999999999999,22.752
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856,59.94,38.361599999999996,47.952,9.590400000000002,23.976000000000003
First Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,24.288,3,0.6,-12.7512,60.72,37.0392,48.576,11.5368,24.288
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,25.176,3,0.6,-33.3582,62.93999999999999,58.5342,50.352,-8.182200000000002,25.175999999999995
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,29.32,2,0.6,-24.189,73.3,53.509,58.64,5.131,29.32
Standard Class,Corporate,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,34.504,2,0.6,-15.5268,86.25999999999999,50.0308,69.008,18.977199999999996,34.504
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,38.976,3,0.6,-50.6688,97.44,89.6448,77.952,-11.692800000000005,38.97599999999999
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,44.4,2,0.6,-52.17,110.99999999999999,96.57,88.8,-7.769999999999996,44.400000000000006
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,51.56,2,0.6,-61.872,128.9,113.432,103.12,-10.311999999999998,51.56
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,64.96,5,0.6,-43.848,162.39999999999998,108.80799999999999,129.92,21.111999999999995,64.96
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,84.272,2,0.6,-75.8448,210.68,160.1168,168.544,8.4272,84.272
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,94.428,3,0.6,-42.4926,236.07,136.9206,188.856,51.93539999999999,94.428
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,159.04,5,0.6,-194.824,397.59999999999997,353.86400000000003,318.08,-35.78400000000005,159.03999999999996
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,0.6,-356.728,1049.2,776.408,839.3600000000001,62.95200000000011,419.6800000000001
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Tables,91.275,1,0.5,-67.5435,182.55,158.8185,146.04000000000002,-12.77849999999998,54.765000000000015
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Tables,108.925,1,0.5,-71.8905,217.85,180.8155,174.28,-6.535499999999985,65.35500000000002
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Tables,145.98,2,0.5,-99.2664,291.96,245.2464,233.56799999999998,-11.67840000000001,87.588
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,177.225,5,0.5,-120.513,354.45,297.738,283.56,-14.177999999999997,106.33500000000001
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,214.95,5,0.5,-120.372,429.9,335.322,343.92,8.598000000000013,128.97000000000003
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Tables,219.075,3,0.5,-131.445,438.15,350.52,350.52,0.0,131.445
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Tables,480.96,3,0.5,-269.3376,961.92,750.2976,769.5360000000001,19.23840000000007,288.5760000000001
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,765.625,7,0.5,-566.5625,1531.25,1332.1875,1225.0,-107.1875,459.375
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,2.334,3,0.8,-6.3018,11.670000000000003,8.6358,9.336000000000004,0.7002000000000042,7.002000000000004
First Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,2.394,1,0.8,-6.3441,11.970000000000002,8.7381,9.576000000000002,0.837900000000003,7.182000000000003
Second Class,Corporate,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,4.356,2,0.8,-11.7612,21.780000000000005,16.1172,17.424000000000003,1.3068000000000026,13.068000000000003
Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,5.588,2,0.8,-15.0876,27.940000000000005,20.6756,22.352000000000004,1.6764000000000046,16.764000000000003
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,14.016,4,0.8,-31.536,70.08000000000001,45.552,56.064000000000014,10.512000000000015,42.048000000000016
Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,20.388,2,0.8,-53.0088,101.94000000000003,73.3968,81.55200000000002,8.155200000000022,61.16400000000002
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,23.992,2,0.8,-62.3792,119.96000000000004,86.3712,95.96800000000003,9.59680000000003,71.97600000000003
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,26.406,3,0.8,-71.2962,132.03000000000003,97.7022,105.62400000000002,7.921800000000019,79.21800000000002
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,48.792,3,0.8,-126.8592,243.96000000000006,175.65120000000002,195.16800000000006,19.516800000000046,146.37600000000003
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,262.24000000000007,183.568,209.79200000000006,26.224000000000046,157.34400000000005
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,53.088,7,0.8,-108.8304,265.44000000000005,161.9184,212.35200000000006,50.43360000000007,159.26400000000007
First Class,Corporate,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,58.464,9,0.8,-146.16,292.32000000000005,204.624,233.85600000000005,29.232000000000056,175.39200000000005
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,73.176,6,0.8,-197.5752,365.8800000000001,270.7512,292.7040000000001,21.95280000000014,219.52800000000013
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,75.6,2,0.8,-166.32,378.00000000000006,241.92,302.40000000000003,60.48000000000005,226.80000000000004
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,92.064,6,0.8,-225.5568,460.32000000000005,317.62080000000003,368.2560000000001,50.635200000000054,276.19200000000006
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,143.128,2,0.8,-393.602,715.6400000000001,536.73,572.5120000000001,35.78200000000004,429.384
Second Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,180.98,5,0.8,-470.548,904.9000000000002,651.528,723.9200000000002,72.39200000000017,542.9400000000002
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,0.836,1,0.8,-1.3376,4.180000000000001,2.1736,3.3440000000000007,1.1704000000000008,2.508000000000001
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,1.592,2,0.8,-2.6268,7.960000000000002,4.2188,6.368000000000002,2.149200000000002,4.776000000000002
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,1.728,4,0.8,-2.7648,8.640000000000002,4.4928,6.912000000000003,2.4192000000000027,5.184000000000003
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,8.940000000000001,4.8276,7.152000000000001,2.3244000000000007,5.364000000000001
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,8.940000000000001,4.8276,7.152000000000001,2.3244000000000007,5.364000000000001
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,1.8,5,0.8,-2.88,9.000000000000002,4.68,7.200000000000002,2.5200000000000022,5.400000000000002
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,1.908,3,0.8,-3.2436,9.540000000000001,5.1516,7.6320000000000014,2.4804000000000013,5.724000000000001
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.928,2,0.8,-2.9884,9.640000000000002,4.916399999999999,7.712000000000002,2.795600000000003,5.7840000000000025
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,2.112,2,0.8,-3.3792,10.560000000000002,5.4912,8.448000000000002,2.956800000000002,6.336000000000002
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,2.182,1,0.8,-3.6003,10.910000000000002,5.782299999999999,8.728000000000002,2.945700000000002,6.546000000000002
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,2.296,2,0.8,-3.9032,11.480000000000002,6.199199999999999,9.184000000000003,2.9848000000000035,6.8880000000000035
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,2.89,1,0.8,-4.7685,14.450000000000005,7.6585,11.560000000000004,3.901500000000004,8.670000000000005
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,2.946,3,0.8,-4.8609,14.730000000000004,7.806900000000001,11.784000000000004,3.9771000000000036,8.838000000000005
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,3.036,3,0.8,-5.0094,15.180000000000003,8.0454,12.144000000000004,4.098600000000003,9.108000000000004
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752,15.840000000000003,7.92,12.672000000000004,4.752000000000004,9.504000000000005
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,3.208,2,0.8,-5.2932,16.040000000000006,8.5012,12.832000000000006,4.330800000000005,9.624000000000006
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,3.564,3,0.8,-6.237,17.820000000000004,9.801,14.256000000000004,4.455000000000004,10.692000000000004
Standard Class,Corporate,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,3.798,3,0.8,-5.8869,18.990000000000006,9.684899999999999,15.192000000000005,5.5071000000000065,11.394000000000005
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,4.6,2,0.8,-8.05,23.000000000000004,12.65,18.400000000000002,5.750000000000002,13.800000000000002
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,4.788,3,0.8,-7.9002,23.940000000000005,12.6882,19.152000000000005,6.463800000000004,14.364000000000004
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,5.104,4,0.8,-8.6768,25.520000000000007,13.7808,20.416000000000007,6.635200000000008,15.312000000000008
Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,5.936,7,0.8,-8.904,29.680000000000007,14.84,23.744000000000007,8.904000000000007,17.808000000000007
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,8.134,7,0.8,-13.8278,40.67000000000001,21.9618,32.53600000000001,10.574200000000008,24.402000000000008
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,8.568,3,0.8,-14.5656,42.84000000000001,23.1336,34.27200000000001,11.138400000000011,25.70400000000001
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,8.682,1,0.8,-14.7594,43.41000000000001,23.4414,34.72800000000001,11.286600000000007,26.046000000000006
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,8.69,5,0.8,-14.773,43.45000000000001,23.463,34.76000000000001,11.297000000000011,26.07000000000001
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,8.808,3,0.8,-14.9736,44.040000000000006,23.781599999999997,35.232000000000006,11.450400000000009,26.424000000000007
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,9.264,3,0.8,-13.896,46.32000000000001,23.16,37.056000000000004,13.896000000000004,27.792000000000005
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,10.43,5,0.8,-18.2525,52.15000000000001,28.6825,41.72000000000001,13.037500000000012,31.290000000000013
Second Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,11.212,2,0.8,-16.818,56.06000000000001,28.03,44.84800000000001,16.818000000000012,33.63600000000001
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,11.364,3,0.8,-17.046,56.820000000000014,28.41,45.45600000000002,17.046000000000017,34.09200000000001
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,12.128,4,0.8,-20.6176,60.640000000000015,32.745599999999996,48.512000000000015,15.766400000000019,36.384000000000015
Standard Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.456,1,0.8,-23.548,67.28000000000002,37.004,53.82400000000001,16.820000000000014,40.36800000000001
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.468,13,0.8,-22.8956,67.34000000000002,36.363600000000005,53.872000000000014,17.50840000000001,40.40400000000001
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,14.48,5,0.8,-23.892,72.40000000000002,38.372,57.920000000000016,19.548000000000016,43.44000000000001
First Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,15.08,2,0.8,-22.62,75.40000000000002,37.7,60.32000000000002,22.62000000000002,45.24000000000002
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,16.03,5,0.8,-25.648,80.15000000000002,41.678,64.12000000000002,22.44200000000002,48.09000000000002
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,17.46,6,0.8,-30.555,87.30000000000003,48.015,69.84000000000002,21.825000000000017,52.38000000000002
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,17.904,6,0.8,-31.332,89.52000000000002,49.236000000000004,71.61600000000003,22.380000000000024,53.712000000000025
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,24.588,3,0.8,-38.1114,122.94000000000003,62.699400000000004,98.35200000000003,35.65260000000003,73.76400000000004
